COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. President and Vice President,U.S. House District 3,U.S. House District 3,U.S. House District 3,U.S. House District 3,Governor and Lt. Governor,Governor and Lt. Governor,Governor and Lt. Governor,Governor and Lt. Governor,Attorney General,Attorney General,Attorney General,State Auditor,State Auditor,State Auditor,State Treasurer,State Treasurer,State Treasurer,State Senate District 27,State House District 69 DISTRICT 69,State House District 70 DISTRICT 70,State House District 70 DISTRICT 70,County Commission District #1 DISTRICT 1,County Commission District #2 DISTRICT 2,County Commission District #4 DISTRICT 4,County Commission District #4 DISTRICT 4,County Commission District #5 DISTRICT 5,County Commission At-Large,County Commission At-Large,Grand County Assessor,Grand County Clerk/Auditor,Grand County Recorder,Grand County Surveyor,Grand County Treasurer,Grand County School Board District 2 DISTRICT 2,Grand County School Board District 3 DISTRICT 3,Grand County School Board District 5 DISTRICT 5,John A. Pearce Judicial Retention,John A. Pearce Judicial Retention,David N. Mortensen Judicial Retention,David N. Mortensen Judicial Retention,Diana Hagen Judicial Retention,Diana Hagen Judicial Retention,Gregory Keith Orme Judicial Retention,Gregory Keith Orme Judicial Retention,Jill M. Pohlman Judicial Retention,Jill M. Pohlman Judicial Retention,Michele M. Christiansen Forster Judicial Retention,Michele M. Christiansen Forster Judicial Retention,Ryan M. Harris Judicial Retention,Ryan M. Harris Judicial Retention,Craig M. Bunnell Judicial Retention,Craig M. Bunnell Judicial Retention,Mary L Manley Judicial Retention,Mary L Manley Judicial Retention,Constitutional Amendment A,Constitutional Amendment A,Constitutional Amendment B,Constitutional Amendment B,Constitutional Amendment C,Constitutional Amendment C,Constitutional Amendment D,Constitutional Amendment D,Constitutional Amendment E,Constitutional Amendment E,Constitutional Amendment F,Constitutional Amendment F,Constitutional Amendment G,Constitutional Amendment G,Proposition #8,Proposition #8,Proposition #10,Proposition #10,Proposition #16,Proposition #16,Proposition #17,Proposition #17,
10,0019,Moab 09:470,328,285,0,0,2,180,0,3,1,0,0,93,109,0,3,157,158,8,94,8,12,160,99,148,29,57,18,147,62,174,0,165,107,202,0,0,0,0,144,126,215,205,209,210,207,0,0,0,181,44,167,55,191,27,175,42,186,31,185,33,162,55,180,39,184,47,187,88,203,48,217,49,155,96,153,113,159,75,140,119,173,105,72,191,96,169,114,153,
10,0020,Moab 09:569,161,133,0,2,0,61,1,2,0,1,0,65,71,3,2,50,50,4,67,9,6,59,66,81,13,23,10,85,21,92,94,0,0,93,0,0,0,0,60,69,106,100,101,96,107,0,0,0,82,27,78,33,86,22,82,24,85,21,85,20,66,38,79,31,79,33,84,45,102,20,100,28,60,59,89,39,77,43,68,57,0,0,31,96,51,74,66,60,
10,0021,Moab 09:570,356,308,0,2,3,130,0,5,0,1,0,166,162,7,5,112,117,4,157,15,24,114,160,181,37,45,34,169,53,214,0,130,160,200,0,0,0,0,123,169,246,225,238,232,240,0,0,0,164,88,167,88,184,64,162,82,182,64,180,65,157,86,184,66,163,98,162,134,218,65,209,82,134,138,191,98,166,102,134,155,0,0,78,210,146,142,167,127,
10,0022,Moab 10:470,607,519,0,0,1,265,0,6,1,1,0,241,253,8,6,221,222,3,249,20,34,224,240,278,61,85,39,284,102,331,0,243,243,0,0,0,0,355,217,262,406,370,383,379,382,0,0,354,295,101,280,113,292,91,285,100,285,97,290,92,281,104,289,100,302,109,311,176,383,91,377,108,265,182,318,165,285,161,227,253,243,253,134,344,210,271,237,242,
10,0023,Moab 11:569,640,554,0,0,2,223,2,4,0,1,0,321,316,5,8,196,198,7,321,10,14,211,310,357,38,73,42,339,68,385,391,0,0,0,0,0,0,0,224,292,437,421,438,432,436,0,393,0,341,86,333,97,346,78,327,93,330,92,334,84,303,113,337,93,349,102,302,213,402,104,399,115,259,237,364,152,310,172,261,256,0,0,126,383,236,275,273,236,
10,0024,Moab 11:570,235,198,0,0,0,90,0,1,0,0,1,106,97,3,3,86,80,2,101,10,11,80,100,113,19,29,12,116,37,136,0,90,97,0,0,0,0,0,88,98,158,155,160,155,156,0,146,0,116,42,112,45,120,31,112,36,115,32,115,28,106,40,118,29,116,41,101,88,146,35,127,54,96,80,139,50,108,62,102,86,0,0,48,130,89,94,98,79,
10,0025,Moab 02:570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0026,Moab 05:569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0027,Thompson 06:470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0028,Moab 10:570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,ZZZ,COUNTY TOTALS,5971,5231,0,15,19,2806,5,62,6,23,1,2248,2339,65,64,2460,2499,56,2303,158,230,2584,2230,2787,496,888,387,2793,905,3162,1295,1717,1349,730,524,701,517,520,2531,2387,3940,3707,3803,3759,3922,530,887,532,3046,982,2861,1130,3077,823,2899,967,3025,848,3037,830,2659,1192,2947,975,3007,1152,3241,1712,3860,860,3886,954,2554,2035,2998,1916,2971,1482,2439,2380,1450,1113,1255,3571,1935,2938,2255,2600,
